"REF_DATE","GEO","DGUID","Country of residence","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Newfoundland and Labrador","2016A000210","Saint Martin (French part)","Persons","249","units","0","v122610404","2.258","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Saint Martin (French part)","Persons","249","units","0","v122610404","2.258","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Saint Martin (French part)","Persons","249","units","0","v122610404","2.258","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Saint Martin (French part)","Persons","249","units","0","v122610404","2.258","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Saint Pierre and Miquelon","Persons","249","units","0","v126702","2.183","356","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Saint Pierre and Miquelon","Persons","249","units","0","v126702","2.183","206","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Saint Pierre and Miquelon","Persons","249","units","0","v126702","2.183","210","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Saint Pierre and Miquelon","Persons","249","units","0","v126702","2.183","124","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Saint Pierre and Miquelon","Persons","249","units","0","v126702","2.183","19","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Saint Vincent and the Grenadines","Persons","249","units","0","v126724","2.203","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Saint Vincent and the Grenadines","Persons","249","units","0","v126724","2.203","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Saint Vincent and the Grenadines","Persons","249","units","0","v126724","2.203","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Saint Vincent and the Grenadines","Persons","249","units","0","v126724","2.203","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Saint Vincent and the Grenadines","Persons","249","units","0","v126724","2.203","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Sint Maarten (Dutch part)","Persons","249","units","0","v122610405","2.259","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Sint Maarten (Dutch part)","Persons","249","units","0","v122610405","2.259","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Sint Maarten (Dutch part)","Persons","249","units","0","v122610405","2.259","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Sint Maarten (Dutch part)","Persons","249","units","0","v122610405","2.259","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Sint Maarten (Dutch part)","Persons","249","units","0","v122610405","2.259","0","","","","0"
"2019-12","Newfoundland and Labrador","2016A000210","Trinidad and Tobago","Persons","249","units","0","v126698","2.171","0","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Trinidad and Tobago","Persons","249","units","0","v126698","2.171","0","","","","0"
"2020-02","Newfoundland and Labrador","2016A000210","Trinidad and Tobago","Persons","249","units","0","v126698","2.171","0","","","","0"
"2020-03","Newfoundland and Labrador","2016A000210","Trinidad and Tobago","Persons","249","units","0","v126698","2.171","0","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Trinidad and Tobago","Persons","249","units","0","v126698","2.171","1","","","","0"
